	ZipCode	Latitude	Longitude	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SiteEnergyUse(kBtu)	TotalGHGEmissions	Distribution Center	Hotel	Office	Other	Refrigerated Warehouse	Retail Store	Self-Storage Facility	Senior Care Community	Supermarket / Grocery Store	Warehouse	Worship Facility	Public services	Library	Banks	Education	Manufacturing/Industrial Plant	Food Service	Mall	General Medical	Data Center	Entertainment
1522	98107.0	47.668279999999996	-122.37428	2000.0	1.0	1.0	89103.0	34.0	14029480.0	384.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47034.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1523	98125.0	47.66621	-122.37501999999999	1961.0	1.0	1.0	32000.0		1331122.125	45.38	0.0	0.0	4700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29880.0
1524	98107.0	47.66389	-122.37307	1910.0	1.0	2.0	31140.0		935580.3125	38.86	0.0	0.0	0.0	14840.0	0.0	9400.0	0.0	0.0	0.0	6900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1525	98107.0	47.6644	-122.37246	1975.0	1.0	3.0	41478.0	3.0	3035962.25	78.22	0.0	0.0	9546.0	0.0	0.0	0.0	0.0	0.0	0.0	31932.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1526	98107.0	47.66411	-122.37185	1980.0	1.0	1.0	39840.0	2.0	752104.0	5.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39840.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1534	98107.0	47.66984	-122.3842	2004.0	1.0	1.0	30576.0		1533245.75	38.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3100.0	15000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1537	98107.0	47.66894	-122.38242	1924.0	1.0	2.0	21528.0		306911.0938	6.61	0.0	0.0	0.0	21528.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1538	98107.0	47.66908	-122.38627	1928.0	1.0	2.0	30000.0		1094940.75	13.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25828.0	0.0	0.0	0.0
1557	98107.0	47.674820000000004	-122.37316000000001	1942.0	1.0	2.0	30087.0		5274642.0	36.77	0.0	0.0	0.0	30554.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1558	98107.0	47.663270000000004	-122.37438999999999	1975.0	1.0	1.0	40445.0	92.0	786253.6875	29.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40445.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1559	98107.0	47.66318	-122.37283000000001	1996.0	1.0	1.0	23500.0	53.0	1137967.5	13.29	0.0	0.0	0.0	0.0	0.0	23500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1560	98134.0	47.67518	-122.36549	1967.0	1.0	1.0	22420.0	82.0	1404253.75	31.79	0.0	0.0	0.0	0.0	0.0	23067.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1563	98119.0	47.64909	-122.37788	1961.0	1.0	1.0	25842.0	35.0	8518313.0	237.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25987.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1565	98119.0	47.65018	-122.37787	1992.0	1.0	3.0	26389.0		1208035.375	8.42	0.0	0.0	16766.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9623.0
1566	98119.0	47.65252	-122.37586999999999	1982.0	1.0	3.0	25859.0	88.0	858780.625	14.9	0.0	0.0	25859.0	4000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1567	98199.0	47.66238	-122.38831	1974.0	1.0	1.0	25600.0	1.0	1730600.625	34.26	0.0	0.0	5000.0	0.0	0.0	0.0	0.0	0.0	0.0	20600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1568	98199.0	47.66126	-122.38751	1965.0	1.0	1.0	23169.0		222255.9063	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10200.0	0.0	0.0	0.0	0.0	0.0
